cityCode,City,State,Title,sourceURL,btaaURL,Bounding Box
07c-02,Ann Arbor,Michigan,Ann Arbor Data Catalog,https://www.a2gov.org/services/data/Pages/default.aspx,https://geo.btaa.org/?q=07c-02,"-83.799572,42.222668,-83.675807,42.323971"
11c-01-3,Cincinnati,Ohio,"ArcGIS REST Services Directory for Cincinnati, Ohio",https://cagisonline.hamilton-co.org/arcgis/rest/services,https://geo.btaa.org/?q=11c-01-3,"-84.8203,39.02153,-84.25651,39.31206"
11c-01-2,Cincinnati,Ohio,Cincinnati Area Geographic Information Systems (CAGIS) File Downloads,http://cagis.org/Opendata/?,https://geo.btaa.org/?q=11c-01-2,"-84.8203,39.02153,-84.25651,39.31206"
10c-02,Hudson,Wisconsin,"City Maps of Hudson, WI",https://hudsonwi.gov/475/City-Maps,https://geo.btaa.org/?q=10c-02,"-92.7703,44.9388,-92.6905,44.9892"
04c-02,Baltimore,Maryland,City of Baltimore GIS Open Data,http://gis-baltimore.opendata.arcgis.com,https://geo.btaa.org/?q=04c-02,"-76.711298,39.197233,-76.529676,39.371971"
01c-01,Bloomington,Indiana,"City of Bloomington, Indiana Open Data Portal",https://data.bloomington.in.gov,https://geo.btaa.org/?q=01c-01,"-86.59189,39.12133,-86.47113,39.22136"
12c-01,Chicago,Illinois,City of Chicago Data Portal,https://data.cityofchicago.org,https://geo.btaa.org/?q=12c-01,"-87.940101,41.643919,-87.523984,42.023022"
03c-01,Des Moines,Iowa,City of Des Moines GIS Data,https://www.dsm.city/city_of_des_moines_gis_data,https://geo.btaa.org/?q=03c-01,"-93.709175,41.479639,-93.493691,41.658911"
04c-04,Frederick,Maryland,City of Frederick GIS,https://www.cityoffrederick.com/523/SpiresGIS,https://geo.btaa.org/?q=04c-04,"-77.478087,39.392633,-77.359292,39.475677"
13c-02,Grand Island,Nebraska,City of Grand Island Public GIS Data Portal,https://data-cityofgi.opendata.arcgis.com/,https://geo.btaa.org/?q=13c-02,"-98.431455,40.854992,-98.288213,40.988881"
10c-03,Madison,Wisconsin,"City of Madison, WI GIS Open Data Portal",https://data-cityofmadison.opendata.arcgis.com,https://geo.btaa.org/?q=10c-03,"-89.5667,42.9981,-89.2465,43.1721"
05c-02,Saint Paul,Minnesota,City of Saint Paul GIS Data,https://information.stpaul.gov,https://geo.btaa.org/?q=05c-02,"-93.207787,44.887281,-93.00432,44.992016"
03c-04,Waterloo,Iowa,City of Waterloo's Mapping and GIS Hub,https://waterlooia.maps.arcgis.com/home/index.html,https://geo.btaa.org/?q=03c-04,"-92.436821,42.421158,-92.248865,42.570487"
12f-01,Chicago,Illinois,CMAP (Chicago Metropolitan Agency for Planning) Data Hub,https://datahub.cmap.illinois.gov,https://geo.btaa.org/?q=12f-01,"-87.940101,41.643919,-87.523984,42.023022"
07c-01,Detroit,Michigan,Detroit Open Data,https://data.detroitmi.gov,https://geo.btaa.org/?q=07c-01,"-83.287959,42.255192,-82.910439,42.450232"
07c-03,Grand Rapids,Michigan,"Grand Rapids, Michigan Open Data",https://grdata-grandrapids.opendata.arcgis.com,https://geo.btaa.org/?q=07c-03,"-85.751532,42.883648,-85.568646,43.029047"
13c-01,Lincoln,Nebraska,Lincoln Open Data and Performance Management,https://data2-lincolnne.opendata.arcgis.com/,https://geo.btaa.org/?q=13c-01,"-96.80415,40.693767,-96.577307,40.900281"
07c-04,Flint,Michigan,MapFlint Data Download,https://mapflint-umich.opendata.arcgis.com,https://geo.btaa.org/?q=07c-04,"-83.772285,42.945636,-83.620649,43.079336"
05c-01,Minneapolis,Minnesota,Minneapolis Open Data Hub,https://opendata.minneapolismn.gov,https://geo.btaa.org/?q=05c-01,"-93.329163,44.89015,-93.193858,45.05125"
04c-02-01,Baltimore,Maryland,Open Baltimore,https://data.baltimorecity.gov,https://geo.btaa.org/?q=04c-02-01,"-76.71129,39.19723,-76.52967,39.37197"
04c-01,Washington,District of Columbia,Open Data DC,https://opendata.dc.gov,https://geo.btaa.org/?q=04c-01,"-77.11976,38.79164,-76.90915,38.99597"
08c-01,Philadelphia,Pennsylvania,OpenDataPhilly,https://www.opendataphilly.org,https://geo.btaa.org/?q=08c-01,"-75.280298,39.867005,-74.955831,40.137959"
01c-02,Indianapolis,Indiana,OpenIndy Data Portal,http://data.indy.gov,https://geo.btaa.org/?q=01c-02,"-86.32815,39.63219,-85.93808,39.9275"
08c-01-2,Philadelphia,Pennsylvania,PHLmaps,http://data-phl.opendata.arcgis.com,https://geo.btaa.org/?q=08c-01-2,"-75.280298,39.867005,-74.955832,40.13796"
09c-01,South Bend,Indiana,"South Bend, IN Open Data",http://data-southbend.opendata.arcgis.com,https://geo.btaa.org/?q=09c-01,"-86.360748,41.59745,-86.191291,41.760267"
10c-04,Wisconsin Rapids,Wisconsin,Wisconsin Rapids Online Map Portal,https://rapidsdata-wisconsinrapids.opendata.arcgis.com,https://geo.btaa.org/?q=10c-04,"-89.8727,44.3488,-89.7458,44.4273"
01b-18163,Evansville,Indiana,"Evansville, Vanderburgh County, Indiana Open Data Collection",https://dev-evansvilleapc.opendata.arcgis.com,https://geo.btaa.org/?q=01b-18163,"-87.70076,37.82606,-87.44941,38.16842"
